,customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update,_merge
599,605,1,Blake Frank,Donna Moore,robert17@example.com,15,39,2025-02-04 14:46:40,2025-02-04 14:46:40,left_only
600,618,1,Amber Lynn,Christina Salas,frank81@example.com,457,19,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
601,611,1,Angela Wood,Dr. Dawn Taylor MD,rgreen@example.net,35,3,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
602,606,1,Cynthia Chang,Bryan Cabrera,chelsea02@example.org,81,1,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
603,608,1,Jose Nguyen,Tina Murphy,jkennedy@example.org,3,78,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
604,620,1,Joshua Simpson,Kristin Murphy,colemanmichael@example.org,172,88,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
605,607,1,Michele Mcdonald,Elizabeth Hernandez,patriciaobrien@example.com,528,51,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
606,609,1,Scott Davis,Juan Franco,nicolesilva@example.net,315,47,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
607,616,2,Ann Wong,Dr. Melanie Simon DVM,derrick95@example.org,94,76,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
608,619,2,Anthony Ferguson,Joseph Jacobs,matthew59@example.org,512,28,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
609,615,2,Barry Adams,Terri Giles,tferguson@example.net,357,83,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
610,617,2,Carlos Le,Aaron Everett,johnpeters@example.org,152,45,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
611,613,2,Jason Jefferson,Erica Smith,meganlin@example.org,183,86,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
612,612,2,John Beasley,Nicholas Pruitt,cynthiavasquez@example.com,520,63,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
613,610,2,Matthew Jackson,Jerry Norton,cduarte@example.org,505,30,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
614,614,2,Steven Shea,Richard Maldonado,timothy93@example.com,73,74,2025-02-04 14:48:45,2025-02-04 14:48:45,left_only
615,637,1,Bradley Brooks,Walter Anderson,karensaunders@example.com,239,6,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
616,630,1,Daisy Johnson,Veronica Christensen,jamiegardner@example.com,65,2,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
617,636,1,Emily Bartlett,Brandon Rhodes,desiree27@example.com,563,77,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
618,632,1,Joshua Jordan,April Mahoney,tmullen@example.com,443,12,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
619,625,1,Justin Ramirez,Nathaniel Cruz,penaamy@example.org,294,14,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
620,635,1,Mark George,Joseph Bennett,jacquelinegibson@example.com,127,96,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
621,628,1,Michael Macdonald,Wendy Jones,john33@example.com,435,28,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
622,631,1,Sarah Morris,Dr. Samantha Cisneros,leewilson@example.com,168,66,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
623,633,1,Tina Scott,Janet Mueller,kylie37@example.net,122,19,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
624,626,1,Yolanda Fernandez,Jacob Hansen,margaretross@example.org,379,48,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
625,624,2,Alyssa Osborne,Joseph Raymond,joseph14@example.com,176,26,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
626,623,2,Caleb Robinson,Brittany Johnson,michael05@example.org,175,100,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
627,627,2,Pamela Williams,Kathryn Shaffer,tasha76@example.org,26,66,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
628,634,2,Richard Dean,Rebecca Glass,brenda83@example.com,49,65,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
629,621,2,Stephen Miller,Nicholas Ramirez,robin58@example.com,453,63,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
630,629,2,Tyler Jensen,Andrea Green,robertcarrillo@example.org,493,54,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
631,622,2,William Murphy,Dawn Gould,nyates@example.com,167,85,2025-02-06 15:22:27,2025-02-06 15:22:27,left_only
